current_date,Prec_Ishikari,avtem,Flow
2003\05\10,0.07825,5.5,553.254166667
2003\05\11,0.0275,7.5,326.75
2003\05\12,0,12.3,257.40125
2003\05\13,1.69879,14,280.46125
2003\05\14,12.00672,9.7,592.433333333
2003\05\15,0.05799,10.3,1063.98708333
2003\05\16,0.13075,9.9,682.755833333
2003\05\17,0,9.6,512.79875
2003\05\18,0,9.2,433.645833333
2003\05\19,0.04439,8.9,427.585833333
2003\05\20,0.02512,12.6,526.143333333
2003\05\21,0.05456,11.6,522.310833333
2003\05\22,0,9.3,386.812916667
2003\05\23,0,11.5,304.642916667
2003\05\24,0,12.9,243.827916667
2003\05\25,0,12.4,240.827916667
2003\05\26,0,12.1,228.420833333
2003\05\27,1.19798,11.6,291.23375
2003\05\28,0.02505,14.3,275.38
2003\05\29,0,18,262.226666667
2003\05\30,0,17.8,259.147916667
2003\05\31,3.1296,15,271.326666667
2003\06\01,20.67922,13.1,507.180833333
2003\06\02,1.45176,10.2,615.77875
2003\06\03,0.85466,14.3,428.610833333
2003\06\04,0.58269,11.2,408.97125
2003\06\05,0.02297,11.2,315.739583333
2003\06\06,0.01251,11.7,258.344166667
2003\06\07,0,11.2,232.267916667
2003\06\08,0,13.8,232.169166667
2003\06\09,0,14.5,182.540833333
2003\06\10,0,14.6,157.636666667
2003\06\11,0,16.3,220.3025
2003\06\12,0,18.1,241.438333333
2003\06\13,5.60714,17.6,310.94
2003\06\14,10.59177,14.4,391.829166667
2003\06\15,0.12687,15,329.957916667
2003\06\16,0.00922,16.6,254.75375
2003\06\17,0.17772,18.1,254.272083333
2003\06\18,0.00754,18.6,268.938333333
2003\06\19,0.03853,19.3,267.525
2003\06\20,15.2635,17.9,339.746666667
2003\06\21,1.30285,15.2,393.819166667
2003\06\22,0.01391,18.3,269.41875
2003\06\23,0,17.8,213.349583333
2003\06\24,0.01395,14,181.99375
2003\06\25,0.02057,13.6,220.414166667
2003\06\26,0.54052,11.8,250.565833333
2003\06\27,0.31941,13.6,275.405833333
2003\06\28,0.07229,15,275.1525
2003\06\29,7.2324,11.3,293.162916667
2003\06\30,4.64974,12.5,299.6
2003\07\01,1.531,12.5,246.26625
2003\07\02,0.2821,12.8,231.770416667
2003\07\03,0.04049,13.2,210.729583333
2003\07\04,0.26828,13.4,211.379583333
2003\07\05,0.19878,16.5,246.98875
2003\07\06,0,15.8,232.5
2003\07\07,0,15.2,189.54875
2003\07\08,0,13.8,149.235416667
2003\07\09,0.02261,14.8,135.455416667
2003\07\10,28.06352,15.6,178.9325
